Date,Close,Open,High,Low,Change %
2016-12-14,123.32,122.39,123.44,122.10,0.74%
2016-12-15,123.07,123.30,124.13,122.53,-0.20%
2016-12-16,123.31,123.12,123.68,122.83,0.20%
2016-12-19,121.80,123.12,123.28,121.64,-1.22%
2016-12-20,122.43,121.85,122.84,121.72,0.52%
2016-12-21,122.54,122.42,122.88,122.01,0.09%
2016-12-22,122.67,122.53,123.22,122.41,0.11%
2016-12-23,122.71,122.69,122.84,122.39,0.03%
2016-12-26,122.43,122.67,122.80,122.17,-0.23%
2016-12-27,122.79,122.41,123.06,122.33,0.29%
2016-12-28,122.10,122.79,123.28,121.82,-0.56%
2016-12-29,122.28,122.09,122.39,121.53,0.15%
2016-12-30,122.93,122.30,123.89,122.15,0.53%
2017-01-02,122.92,123.08,123.58,122.78,-0.01%
2017-01-03,122.54,122.94,123.37,122.25,-0.31%
2017-01-04,123.00,122.54,123.19,122.39,0.38%
2017-01-05,122.36,123.00,123.17,121.98,-0.52%
2017-01-06,123.16,122.35,123.48,122.10,0.65%
2017-01-09,122.69,123.23,123.75,122.39,-0.38%
2017-01-10,122.19,122.67,123.02,122.08,-0.41%
2017-01-11,122.14,122.19,122.61,121.17,-0.04%
2017-01-12,121.73,122.16,122.30,121.20,-0.34%
2017-01-13,121.91,121.75,122.47,121.59,0.15%
2017-01-16,121.08,121.59,121.72,120.77,-0.68%
2017-01-17,120.67,121.06,121.43,120.52,-0.34%
2017-01-18,121.89,120.67,122.00,120.55,1.01%
2017-01-19,122.50,121.86,122.77,121.68,0.50%
2017-01-20,122.69,122.56,123.02,122.28,0.16%
2017-01-23,121.32,122.47,122.55,121.14,-1.12%
2017-01-24,122.11,121.30,122.23,121.14,0.65%
2017-01-25,121.76,122.16,122.32,121.62,-0.29%
2017-01-26,122.36,121.75,122.72,121.67,0.49%
2017-01-27,123.12,122.39,123.39,122.23,0.62%
2017-01-30,121.67,123.11,123.22,121.39,-1.18%
2017-01-31,121.81,121.67,122.28,120.99,0.12%
2017-02-01,121.96,121.83,122.56,121.57,0.12%
2017-02-02,121.36,121.95,122.05,121.14,-0.49%
2017-02-03,121.54,121.37,121.80,121.08,0.15%
2017-02-06,120.12,121.11,121.53,119.95,-1.17%
2017-02-07,120.06,120.14,120.27,119.50,-0.05%
2017-02-08,119.78,120.06,120.14,119.32,-0.23%
2017-02-09,120.69,119.77,120.83,119.52,0.76%
2017-02-10,120.47,120.68,121.38,120.22,-0.18%
2017-02-13,120.55,120.44,121.21,120.37,0.07%
2017-02-14,120.86,120.53,121.02,120.17,0.26%
2017-02-15,121.03,120.86,121.34,120.63,0.14%
2017-02-16,120.86,121.05,121.22,120.69,-0.14%
2017-02-17,119.81,120.88,121.16,119.70,-0.87%
2017-02-20,120.04,119.86,120.38,119.64,0.19%
2017-02-21,119.79,119.99,120.34,119.54,-0.21%
2017-02-22,119.59,119.81,119.91,118.58,-0.17%
2017-02-23,119.15,119.61,119.79,119.04,-0.37%
2017-02-24,118.50,119.17,119.55,118.22,-0.55%
2017-02-27,119.32,118.51,119.49,118.24,0.69%
2017-02-28,119.28,119.36,119.44,118.69,-0.03%
2017-03-01,119.95,119.24,120.24,119.21,0.56%
2017-03-02,120.20,119.94,120.50,119.89,0.21%
2017-03-03,121.12,120.24,121.23,120.02,0.77%
2017-03-06,120.50,121.06,121.19,120.36,-0.51%
2017-03-07,120.44,120.56,120.78,120.39,-0.05%
2017-03-08,120.54,120.45,121.15,120.01,0.08%
2017-03-09,121.58,120.54,121.93,120.48,0.86%
2017-03-10,122.47,121.58,122.86,121.48,0.73%
2017-03-13,122.39,122.47,122.89,122.11,-0.07%
2017-03-14,121.67,122.41,122.67,121.61,-0.59%
2017-03-15,121.71,121.70,122.12,121.21,0.03%
2017-03-16,122.00,121.69,122.06,121.14,0.24%
