Date,Close,Open,High,Low,Change %
2017-09-06,1.1917,1.1914,1.1951,1.1903,0.03%
2017-09-07,1.2023,1.1917,1.2061,1.1914,0.89%
2017-09-08,1.2035,1.2024,1.2094,1.2016,0.10%
2017-09-11,1.1953,1.2041,1.2041,1.1948,-0.68%
2017-09-12,1.1967,1.1953,1.1980,1.1926,0.12%
2017-09-13,1.1886,1.1968,1.1996,1.1873,-0.68%
2017-09-14,1.1919,1.1884,1.1922,1.1837,0.28%
2017-09-15,1.1943,1.1919,1.1988,1.1901,0.20%
2017-09-18,1.1954,1.1949,1.1971,1.1915,0.09%
2017-09-19,1.1994,1.1955,1.2008,1.1950,0.33%
2017-09-20,1.1893,1.1994,1.2033,1.1862,-0.84%
2017-09-21,1.1941,1.1894,1.1955,1.1866,0.40%
2017-09-22,1.1954,1.1942,1.2006,1.1937,0.11%
2017-09-25,1.1848,1.1953,1.1962,1.1833,-0.89%
2017-09-26,1.1793,1.1848,1.1863,1.1758,-0.46%
2017-09-27,1.1744,1.1793,1.1797,1.1717,-0.42%
2017-09-28,1.1786,1.1746,1.1805,1.1721,0.36%
2017-09-29,1.1814,1.1787,1.1834,1.1773,0.24%
2017-10-02,1.1732,1.1818,1.1818,1.1730,-0.69%
2017-10-03,1.1744,1.1733,1.1775,1.1696,0.10%
2017-10-04,1.1759,1.1742,1.1789,1.1734,0.13%
2017-10-05,1.1711,1.1758,1.1780,1.1698,-0.41%
2017-10-06,1.1734,1.1710,1.1739,1.1668,0.20%
2017-10-09,1.1740,1.1728,1.1757,1.1717,0.05%
2017-10-10,1.1806,1.1738,1.1825,1.1738,0.56%
2017-10-11,1.1859,1.1808,1.1871,1.1795,0.45%
2017-10-12,1.1831,1.1862,1.1881,1.1827,-0.24%
2017-10-13,1.1823,1.1829,1.1875,1.1804,-0.07%
2017-10-16,1.1797,1.1825,1.1827,1.1780,-0.22%
2017-10-17,1.1766,1.1797,1.1801,1.1734,-0.26%
2017-10-18,1.1787,1.1764,1.1806,1.1730,0.18%
2017-10-19,1.1852,1.1788,1.1860,1.1768,0.55%
2017-10-20,1.1785,1.1853,1.1859,1.1763,-0.57%
2017-10-23,1.1749,1.1773,1.1779,1.1725,-0.31%
2017-10-24,1.1761,1.1749,1.1794,1.1743,0.10%
2017-10-25,1.1813,1.1760,1.1819,1.1752,0.44%
2017-10-26,1.1650,1.1812,1.1837,1.1639,-1.38%
2017-10-27,1.1610,1.1650,1.1659,1.1575,-0.34%
2017-10-30,1.1651,1.1603,1.1660,1.1594,0.35%
2017-10-31,1.1646,1.1651,1.1663,1.1625,-0.04%
2017-11-01,1.1619,1.1646,1.1659,1.1607,-0.23%
2017-11-02,1.1658,1.1619,1.1689,1.1613,0.34%
2017-11-03,1.1609,1.1660,1.1692,1.1599,-0.42%
2017-11-06,1.1610,1.1609,1.1625,1.1579,0.01%
2017-11-07,1.1587,1.1610,1.1618,1.1553,-0.20%
2017-11-08,1.1595,1.1587,1.1612,1.1578,0.07%
2017-11-09,1.1642,1.1596,1.1657,1.1586,0.41%
2017-11-10,1.1665,1.1642,1.1680,1.1623,0.20%
2017-11-13,1.1667,1.1666,1.1677,1.1638,0.02%
2017-11-14,1.1798,1.1667,1.1807,1.1660,1.12%
2017-11-15,1.1792,1.1797,1.1861,1.1784,-0.05%
2017-11-16,1.1770,1.1792,1.1802,1.1756,-0.19%
2017-11-17,1.1795,1.1771,1.1823,1.1766,0.21%
2017-11-20,1.1732,1.1789,1.1808,1.1721,-0.53%
2017-11-21,1.1738,1.1732,1.1759,1.1713,0.05%
2017-11-22,1.1822,1.1738,1.1829,1.1733,0.72%
2017-11-23,1.1852,1.1822,1.1856,1.1812,0.25%
2017-11-24,1.1930,1.1850,1.1944,1.1835,0.66%
2017-11-27,1.1898,1.1933,1.1962,1.1896,-0.27%
2017-11-28,1.1841,1.1898,1.1921,1.1827,-0.48%
2017-11-29,1.1848,1.1841,1.1883,1.1816,0.06%
2017-11-30,1.1904,1.1847,1.1933,1.1809,0.47%
2017-12-01,1.1891,1.1904,1.1942,1.1851,-0.11%
2017-12-04,1.1866,1.1882,1.1890,1.1830,-0.21%
2017-12-05,1.1826,1.1866,1.1879,1.1801,-0.34%
2017-12-06,1.1796,1.1825,1.1849,1.1780,-0.25%
2017-12-07,1.1773,1.1796,1.1816,1.1772,-0.19%
2017-12-08,1.1764,1.1772,1.1778,1.1729,-0.08%
2017-12-11,1.1768,1.1768,1.1812,1.1761,0.03%
2017-12-12,1.1742,1.1770,1.1794,1.1718,-0.22%
2017-12-13,1.1826,1.1743,1.1832,1.1729,0.72%
2017-12-14,1.1778,1.1826,1.1863,1.1770,-0.41%
2017-12-15,1.1754,1.1778,1.1814,1.1751,-0.20%
2017-12-18,1.1782,1.1753,1.1834,1.1737,0.24%
2017-12-19,1.1840,1.1782,1.1851,1.1777,0.49%
2017-12-20,1.1871,1.1840,1.1903,1.1829,0.26%
2017-12-21,1.1873,1.1871,1.1889,1.1848,0.02%
2017-12-22,1.1859,1.1874,1.1878,1.1817,-0.12%
2017-12-25,1.1869,1.1850,1.1882,1.1842,0.08%
2017-12-26,1.1859,1.1867,1.1879,1.1845,-0.08%
2017-12-27,1.1888,1.1859,1.1912,1.1855,0.24%
2017-12-28,1.1943,1.1888,1.1961,1.1888,0.46%
